NAME                          AVAIL   USED  USEDSNAP  USEDDS  USEDREFRESERV  USEDCHILD
fast                           880G   841G        0B     96K             0B       841G
fast/subvol-101-disk-0        63.6G   396M        0B    396M             0B         0B
rpool                          848G  51.3G        0B     96K             0B      51.3G
rpool/ROOT                     848G  3.53G        0B     96K             0B      3.53G
rpool/ROOT/pve-1               848G  3.53G        0B   3.53G             0B         0B
rpool/data                     848G  38.8G        0B    144K             0B      38.8G
rpool/data/subvol-100-disk-0  11.1G   873M        0B    873M             0B         0B
rpool/data/subvol-101-disk-0  27.7G  22.3G        0B   22.3G             0B         0B
rpool/data/subvol-102-disk-0  38.2G  11.8G        0B   11.8G             0B         0B
rpool/data/subvol-104-disk-0  2.64G  1.36G        0B   1.36G             0B         0B
rpool/data/subvol-120-disk-0  1.58G   431M        0B    431M             0B         0B
rpool/data/subvol-121-disk-0  7.19G   828M        0B    828M             0B         0B
rpool/data/subvol-705-disk-0  14.8G  1.21G        0B   1.21G             0B         0B
rpool/var-lib-vz               848G  8.94G        0B   8.94G             0B         0B
tank                          14.5T  3.61T        0B    764G             0B      2.86T
tank/itvusa                   14.5T  2.53T        0B   2.53T             0B         0B
tank/photos                   14.5T   244G        0B    244G             0B         0B
tank/takeout                  14.5T   102G        0B    102G             0B         0B
