NAME                           USED  AVAIL  REFER  MOUNTPOINT                     MOUNTED  CANMOUNT
fast                           841G   880G    96K  /fast                          yes      on
fast/subvol-101-disk-0         396M  63.6G   396M  /fast/subvol-101-disk-0        yes      on
rpool                         51.3G   848G    96K  /rpool                         yes      on
rpool/ROOT                    3.53G   848G    96K  /rpool/ROOT                    yes      on
rpool/ROOT/pve-1              3.53G   848G  3.53G  /                              yes      on
rpool/data                    38.8G   848G   144K  /rpool/data                    yes      on
rpool/data/subvol-100-disk-0   873M  11.1G   873M  /rpool/data/subvol-100-disk-0  yes      on
rpool/data/subvol-101-disk-0  22.3G  27.7G  22.3G  /rpool/data/subvol-101-disk-0  yes      on
rpool/data/subvol-102-disk-0  11.8G  38.2G  11.8G  /rpool/data/subvol-102-disk-0  yes      on
rpool/data/subvol-104-disk-0  1.36G  2.64G  1.36G  /rpool/data/subvol-104-disk-0  yes      on
rpool/data/subvol-120-disk-0   431M  1.58G   431M  /rpool/data/subvol-120-disk-0  yes      on
rpool/data/subvol-121-disk-0   828M  7.19G   828M  /rpool/data/subvol-121-disk-0  yes      on
rpool/data/subvol-705-disk-0  1.21G  14.8G  1.21G  /rpool/data/subvol-705-disk-0  yes      on
rpool/var-lib-vz              8.94G   848G  8.94G  /var/lib/vz                    yes      on
tank                          3.61T  14.5T   764G  /tank                          yes      on
tank/itvusa                   2.53T  14.5T  2.53T  /tank/itvusa                   yes      on
tank/photos                    244G  14.5T   244G  /tank/photos                   yes      on
tank/takeout                   102G  14.5T   102G  /tank/takeout                  yes      on
