NAME                      AVAIL   USED  USEDSNAP  USEDDS  USEDREFRESERV  USEDCHILD
ssd-vm                    3.55T  1.40T        0B    147G             0B      1.25T
ssd-vm/base-9000-disk-0   3.55T   232K     11.6K    221K             0B         0B
ssd-vm/base-9000-disk-1   3.55T   105K     11.6K     93K             0B         0B
ssd-vm/base-9000-disk-2   3.55T  38.7G     11.6K   38.7G             0B         0B
ssd-vm/shares             3.55T   197G        0B    151K             0B       197G
ssd-vm/shares/GA-SHARE    3.55T   104G     27.7M    104G             0B         0B
ssd-vm/shares/dropbox     3.55T  92.2G      122M   92.1G             0B         0B
ssd-vm/subvol-700-disk-0  7.42G   670M     79.3M    591M             0B         0B
ssd-vm/subvol-701-disk-0  3.56G   516M     66.4M    449M             0B         0B
ssd-vm/vm-101-disk-0      3.55T   169K        0B    169K             0B         0B
ssd-vm/vm-101-disk-1      3.55T    93K        0B     93K             0B         0B
ssd-vm/vm-101-disk-2      3.55T   179G     87.9G   91.3G             0B         0B
ssd-vm/vm-101-disk-3      3.55T   127G     22.0G    105G             0B         0B
ssd-vm/vm-102-disk-0      3.55T  6.36G     3.11G   3.25G             0B         0B
ssd-vm/vm-110-disk-0      3.55T   186K        0B    186K             0B         0B
ssd-vm/vm-110-disk-1      3.55T   194G      119G   75.7G             0B         0B
ssd-vm/vm-110-disk-2      3.55T    93K        0B     93K             0B         0B
ssd-vm/vm-111-disk-0      3.55T   523K      331K    192K             0B         0B
ssd-vm/vm-111-disk-1      3.55T   115G     53.0G   62.0G             0B         0B
ssd-vm/vm-111-disk-2      3.55T   372K      279K     93K             0B         0B
ssd-vm/vm-300-disk-0      3.55T   145K        0B    145K             0B         0B
ssd-vm/vm-300-disk-1      3.55T   424G      247G    177G             0B         0B
