NAME                       USED  AVAIL  REFER  MOUNTPOINT                 MOUNTED  CANMOUNT
ssd-vm                    1.40T  3.55T   147G  /ssd-vm                    yes      on
ssd-vm/base-9000-disk-0    232K  3.55T   221K  -                          -        -
ssd-vm/base-9000-disk-1    105K  3.55T    93K  -                          -        -
ssd-vm/base-9000-disk-2   38.7G  3.55T  38.7G  -                          -        -
ssd-vm/shares              197G  3.55T   151K  /ssd-vm/shares             yes      on
ssd-vm/shares/GA-SHARE     104G  3.55T   104G  /ssd-vm/shares/GA-SHARE    yes      on
ssd-vm/shares/dropbox     92.2G  3.55T  92.1G  /ssd-vm/shares/dropbox     yes      on
ssd-vm/subvol-700-disk-0   670M  7.42G   591M  /ssd-vm/subvol-700-disk-0  yes      on
ssd-vm/subvol-701-disk-0   516M  3.56G   449M  /ssd-vm/subvol-701-disk-0  yes      on
ssd-vm/vm-101-disk-0       169K  3.55T   169K  -                          -        -
ssd-vm/vm-101-disk-1        93K  3.55T    93K  -                          -        -
ssd-vm/vm-101-disk-2       179G  3.55T  91.3G  -                          -        -
ssd-vm/vm-101-disk-3       127G  3.55T   105G  -                          -        -
ssd-vm/vm-102-disk-0      6.36G  3.55T  3.25G  -                          -        -
ssd-vm/vm-110-disk-0       186K  3.55T   186K  -                          -        -
ssd-vm/vm-110-disk-1       194G  3.55T  75.7G  -                          -        -
ssd-vm/vm-110-disk-2        93K  3.55T    93K  -                          -        -
ssd-vm/vm-111-disk-0       523K  3.55T   192K  -                          -        -
ssd-vm/vm-111-disk-1       115G  3.55T  62.0G  -                          -        -
ssd-vm/vm-111-disk-2       372K  3.55T    93K  -                          -        -
ssd-vm/vm-300-disk-0       145K  3.55T   145K  -                          -        -
ssd-vm/vm-300-disk-1       424G  3.55T   177G  -                          -        -
